,segment,H,L
309,1259651072,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259651072-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259651072-4096.hdf5
310,1259655168,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259655168-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259655168-4096.hdf5
311,1259659264,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259659264-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259659264-4096.hdf5
312,1259663360,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259663360-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259663360-4096.hdf5
313,1259667456,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259667456-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259667456-4096.hdf5
314,1259671552,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259671552-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259671552-4096.hdf5
315,1259675648,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259675648-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259675648-4096.hdf5
316,1259679744,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259679744-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259679744-4096.hdf5
317,1259683840,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259683840-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259683840-4096.hdf5
318,1259687936,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259687936-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259687936-4096.hdf5
